fecha_inicio,categoria_delito,nombre_sec
2025-04-20,Lesiones dolosas por disparo de arma de fuego,Sin Sector
2025-07-14,Lesiones dolosas por disparo de arma de fuego,Sin Sector
2025-06-03,Robo a repartidor con y sin violencia,UNIVERSIDAD
2025-08-05,Robo a pasajero a bordo de microbús con y sin violencia,OASIS
2025-05-29,Robo a transeúnte en vía pública con violencia,Sin Sector
2025-07-22,Robo de vehículo sin violencia,Sin Sector
2025-07-24,Robo de vehículo sin violencia,Sin Sector
2025-07-16,Homicidio doloso,Sin Sector
2025-07-03,Robo de vehículo sin violencia,Sin Sector
2025-07-12,Robo de vehículo sin violencia,Sin Sector
2025-07-18,Robo de vehículo sin violencia,Sin Sector
2025-07-12,Robo de vehículo sin violencia,Sin Sector
2025-07-21,Robo de vehículo sin violencia,Sin Sector
2025-06-13,Robo de vehículo sin violencia,Sin Sector
2025-06-12,Robo de vehículo sin violencia,Sin Sector
2025-05-01,Robo de vehículo sin violencia,Sin Sector
2025-07-31,Robo de vehículo sin violencia,Sin Sector
2025-07-30,Robo de vehículo sin violencia,Sin Sector
2025-04-25,Robo de vehículo sin violencia,Sin Sector
2025-06-27,Robo de vehículo sin violencia,Sin Sector
2025-07-21,Robo de vehículo sin violencia,Sin Sector
2025-07-11,Robo de vehículo con violencia,Sin Sector
2025-07-12,Robo de vehículo sin violencia,Sin Sector
2025-07-16,Robo de vehículo con violencia,Sin Sector
2025-07-22,Robo de vehículo sin violencia,Sin Sector
2025-05-13,Robo de vehículo sin violencia,Sin Sector
2025-06-21,Robo de vehículo sin violencia,Sin Sector
2025-07-14,Robo a pasajero a bordo del metro con violencia,Sin Sector
2025-07-24,Robo de vehículo sin violencia,Sin Sector
2025-08-08,Robo de vehículo sin violencia,Sin Sector
2025-08-05,Robo de vehículo sin violencia,Sin Sector
2025-08-05,Robo de vehículo sin violencia,Sin Sector
2025-08-11,Robo de vehículo sin violencia,Sin Sector
2025-08-15,Robo de vehículo sin violencia,Sin Sector
2025-08-13,Robo a transeúnte en vía pública con violencia,Sin Sector
2025-08-03,Robo de vehículo sin violencia,Sin Sector
2025-08-01,Robo de vehículo con violencia,Sin Sector
2025-08-08,Robo de vehículo sin violencia,Sin Sector
2025-08-08,Robo de vehículo sin violencia,Sin Sector
2025-08-12,Robo de vehículo sin violencia,Sin Sector
2025-08-11,Robo de vehículo sin violencia,Sin Sector
2025-08-14,Robo de vehículo sin violencia,Sin Sector
2025-08-11,Robo de vehículo sin violencia,Sin Sector
2025-08-15,Robo de vehículo sin violencia,Sin Sector
2025-08-14,Robo de vehículo sin violencia,Sin Sector
