fecha_inicio,categoria_delito,nombre_sec
2025-03-20,Robo de vehículo sin violencia,Sin Sector
2025-03-20,Robo de vehículo sin violencia,Sin Sector
2025-03-18,Robo de vehículo sin violencia,Sin Sector
2025-03-14,Robo de vehículo sin violencia,Sin Sector
2025-03-25,Robo de vehículo sin violencia,Sin Sector
2025-03-26,Robo de vehículo sin violencia,Sin Sector
2025-03-14,Robo de vehículo sin violencia,Sin Sector
2025-02-01,Robo de vehículo sin violencia,Sin Sector
2024-12-31,Robo de vehículo sin violencia,Sin Sector
2025-01-26,Lesiones dolosas por disparo de arma de fuego,CONSULADO
2025-01-30,Robo de vehículo sin violencia,Sin Sector
2025-01-27,Robo de vehículo sin violencia,Sin Sector
2025-02-19,Robo de vehículo sin violencia,Sin Sector
2025-04-05,Robo a transeúnte en vía pública con violencia,Sin Sector
2025-02-26,Robo de vehículo con violencia,Sin Sector
2025-02-19,Robo de vehículo sin violencia,Sin Sector
2025-04-05,Robo de vehículo sin violencia,Sin Sector
2025-02-26,Robo de vehículo sin violencia,Sin Sector
2025-02-11,Robo de vehículo sin violencia,Sin Sector
2025-02-10,Robo de vehículo sin violencia,Sin Sector
2025-02-12,Robo de vehículo sin violencia,Sin Sector
2025-02-13,Robo de vehículo con violencia,Sin Sector
2025-02-14,Robo de vehículo sin violencia,Sin Sector
2025-02-06,Lesiones dolosas por disparo de arma de fuego,CONSULADO
2024-12-18,Homicidio doloso,ZARAGOZA
2025-04-11,Robo a repartidor con y sin violencia,MERCED-BALBUENA
2024-12-26,Robo a pasajero a bordo de microbús con y sin violencia,MERCED-BALBUENA
2025-02-21,Robo a negocio con violencia,CONSULADO
2025-03-13,Robo de vehículo sin violencia,Sin Sector
2025-03-12,Robo de vehículo sin violencia,Sin Sector
2025-03-14,Robo de vehículo sin violencia,Sin Sector
2025-03-15,Robo de vehículo sin violencia,Sin Sector
2025-04-16,Homicidio doloso,CONGRESO
2025-02-11,Robo a negocio con violencia,CONSULADO
2025-02-12,Robo de vehículo sin violencia,Sin Sector
2025-02-07,Robo de vehículo sin violencia,Sin Sector
2025-03-10,Robo de vehículo sin violencia,Sin Sector
2025-01-11,Robo a negocio con violencia,MOCTEZUMA
2025-04-04,Homicidio doloso,MOCTEZUMA
2025-03-18,Robo a cuentahabiente saliendo del cajero con violencia,Sin Sector
2025-02-23,Homicidio doloso,CONGRESO
2025-01-18,Lesiones dolosas por disparo de arma de fuego,MOCTEZUMA
2025-01-02,Robo a negocio con violencia,MERCED-BALBUENA
2025-03-24,Robo a casa habitación con violencia,CONSULADO
2025-02-02,Robo a negocio con violencia,CONGRESO
2025-03-02,Robo a negocio con violencia,ZARAGOZA
2025-04-03,Robo a negocio con violencia,MOCTEZUMA
2025-03-06,Robo de vehículo con violencia,LA RAZA
2025-01-12,Robo a negocio con violencia,MOCTEZUMA
2025-02-01,Robo de vehículo sin violencia,Sin Sector
2025-01-17,Robo a repartidor con y sin violencia,MOCTEZUMA
2025-03-09,Homicidio doloso,CONSULADO
2025-02-18,Homicidio doloso,CONGRESO
2025-03-24,Robo a negocio con violencia,CONSULADO
2025-02-22,Lesiones dolosas por disparo de arma de fuego,CONSULADO
2025-01-22,Homicidio doloso,MOCTEZUMA
2025-03-19,Robo a negocio con violencia,MOCTEZUMA
2025-03-02,Robo de vehículo sin violencia,Sin Sector
2025-03-10,Robo de vehículo sin violencia,Sin Sector
2025-03-20,Robo de vehículo sin violencia,Sin Sector
2025-02-19,Lesiones dolosas por disparo de arma de fuego,MOCTEZUMA
2025-03-11,Robo de vehículo sin violencia,Sin Sector
2025-03-18,Robo de vehículo sin violencia,Sin Sector
2025-03-17,Robo de vehículo con violencia,Sin Sector
2025-03-25,Robo de vehículo sin violencia,OASIS
2025-03-14,Robo a transeúnte en vía pública con violencia,ABASTO-REFORMA
2025-04-14,Robo de vehículo sin violencia,MILPA ALTA
2025-03-13,Robo de vehículo sin violencia,COAPA
2025-03-23,Lesiones dolosas por disparo de arma de fuego,Sin Sector
2025-03-17,Lesiones dolosas por disparo de arma de fuego,Sin Sector
2025-03-15,Lesiones dolosas por disparo de arma de fuego,Sin Sector
2024-12-21,Lesiones dolosas por disparo de arma de fuego,Sin Sector
2024-12-22,Lesiones dolosas por disparo de arma de fuego,Sin Sector
2025-03-05,Robo a repartidor con y sin violencia,Sin Sector
2025-01-16,Lesiones dolosas por disparo de arma de fuego,Sin Sector
2025-01-28,Robo a pasajero a bordo de microbús con y sin violencia,Sin Sector
2025-03-08,Lesiones dolosas por disparo de arma de fuego,Sin Sector
2025-03-02,Lesiones dolosas por disparo de arma de fuego,Sin Sector
2025-03-18,Lesiones dolosas por disparo de arma de fuego,Sin Sector
2025-04-05,Lesiones dolosas por disparo de arma de fuego,Sin Sector
2025-03-05,Robo a pasajero a bordo de microbús con y sin violencia,Sin Sector
2025-04-15,Robo a transeúnte en vía pública con violencia,TEPEPAN
2024-12-21,Lesiones dolosas por disparo de arma de fuego,Sin Sector
2025-02-10,Lesiones dolosas por disparo de arma de fuego,Sin Sector
2025-02-10,Lesiones dolosas por disparo de arma de fuego,Sin Sector
2025-03-05,Homicidio doloso,Sin Sector
2025-01-19,Lesiones dolosas por disparo de arma de fuego,Sin Sector
2025-01-19,Lesiones dolosas por disparo de arma de fuego,Sin Sector
2025-01-23,Homicidio doloso,Sin Sector
2025-01-12,Lesiones dolosas por disparo de arma de fuego,Sin Sector
2025-01-28,Lesiones dolosas por disparo de arma de fuego,Sin Sector
2025-01-31,Lesiones dolosas por disparo de arma de fuego,Sin Sector
2025-01-05,Lesiones dolosas por disparo de arma de fuego,Sin Sector
2025-01-05,Lesiones dolosas por disparo de arma de fuego,Sin Sector
2025-01-01,Lesiones dolosas por disparo de arma de fuego,Sin Sector
2024-12-19,Lesiones dolosas por disparo de arma de fuego,Sin Sector
2024-12-19,Lesiones dolosas por disparo de arma de fuego,Sin Sector
2025-03-03,Lesiones dolosas por disparo de arma de fuego,Sin Sector
2025-03-03,Lesiones dolosas por disparo de arma de fuego,Sin Sector
2025-02-02,Lesiones dolosas por disparo de arma de fuego,Sin Sector
2025-01-20,Lesiones dolosas por disparo de arma de fuego,Sin Sector
2025-04-08,Lesiones dolosas por disparo de arma de fuego,Sin Sector
