fecha_inicio,categoria_delito,nombre_sec
2024-01-21,Robo a cuentahabiente saliendo del cajero con violencia,PRADERA
2024-03-28,Robo a transportista con y sin violencia,TEPEYAC
2025-05-07,Robo a repartidor con y sin violencia,TEPEYAC
2024-12-27,Robo a transportista con y sin violencia,TEPEYAC
2025-03-26,Homicidio doloso,CUAUTEPEC
2025-01-28,Robo a negocio con violencia,CUCHILLA
2024-09-03,Robo a repartidor con y sin violencia,CUCHILLA
2024-11-22,Robo a negocio con violencia,CUCHILLA
2024-11-10,Robo a negocio con violencia,CUCHILLA
2024-04-27,Lesiones dolosas por disparo de arma de fuego,CUCHILLA
2025-04-14,Homicidio doloso,CUCHILLA
2025-02-11,Homicidio doloso,CUCHILLA
2024-09-08,Robo a pasajero a bordo de microbús con y sin violencia,CUCHILLA
2024-10-03,Robo a negocio con violencia,CUCHILLA
2024-05-01,Robo a negocio con violencia,CUCHILLA
2024-06-04,Robo a cuentahabiente saliendo del cajero con violencia,CUCHILLA
2025-03-29,Robo a negocio con violencia,TEPEYAC
2024-12-07,Homicidio doloso,CUCHILLA
2024-01-31,Homicidio doloso,LINDAVISTA
2024-05-01,Lesiones dolosas por disparo de arma de fuego,ARAGON
2024-11-05,Lesiones dolosas por disparo de arma de fuego,CUAUTEPEC
2025-01-31,Robo a negocio con violencia,CUAUTEPEC
2024-03-05,Robo a pasajero a bordo de taxi con violencia,CUAUTEPEC
2024-07-06,Homicidio doloso,CUAUTEPEC
2024-02-19,Robo a negocio con violencia,CUAUTEPEC
2025-03-27,Robo a negocio con violencia,TEPEYAC
2024-06-16,Homicidio doloso,TEPEYAC
2025-04-03,Lesiones dolosas por disparo de arma de fuego,LINDAVISTA
2024-08-24,Robo a repartidor con y sin violencia,LINDAVISTA
2025-03-21,Robo a repartidor con y sin violencia,QUIROGA
2024-02-13,Homicidio doloso,QUIROGA
2024-04-26,Homicidio doloso,PRADERA
2024-01-18,Robo a negocio con violencia,PRADERA
2025-01-28,Robo a negocio con violencia,LINDAVISTA
2024-05-29,Robo a negocio con violencia,LINDAVISTA
2025-02-09,Homicidio doloso,ARAGON
2024-12-03,Robo a pasajero a bordo de microbús con y sin violencia,TICOMAN
2024-06-14,Robo a negocio con violencia,LINDAVISTA
2024-01-11,Homicidio doloso,LINDAVISTA
2024-12-04,Homicidio doloso,LINDAVISTA
2025-05-30,Robo a negocio con violencia,LINDAVISTA
2024-02-09,Robo a cuentahabiente saliendo del cajero con violencia,QUIROGA
2024-10-28,Robo a negocio con violencia,QUIROGA
2024-07-05,Robo a negocio con violencia,LINDAVISTA
2025-03-01,Robo a negocio con violencia,LINDAVISTA
2025-06-18,Homicidio doloso,TICOMAN
2024-09-01,Robo a negocio con violencia,ARAGON
2024-03-19,Robo a repartidor con y sin violencia,ARAGON
2024-05-03,Robo a negocio con violencia,PRADERA
2024-06-07,Robo a repartidor con y sin violencia,ARAGON
2024-07-10,Robo a negocio con violencia,QUIROGA
2024-11-17,Robo a negocio con violencia,LINDAVISTA
2024-06-05,Lesiones dolosas por disparo de arma de fuego,CUCHILLA
2024-12-11,Homicidio doloso,PRADERA
2025-02-24,Robo a negocio con violencia,TICOMAN
2025-03-08,Robo a repartidor con y sin violencia,TICOMAN
2024-09-02,Robo a pasajero a bordo de microbús con y sin violencia,TICOMAN
2025-04-02,Robo a negocio con violencia,LINDAVISTA
2024-08-09,Robo a repartidor con y sin violencia,CUCHILLA
2025-05-19,Homicidio doloso,CUCHILLA
2024-04-26,Robo a negocio con violencia,CUCHILLA
2024-01-09,Robo a negocio con violencia,LINDAVISTA
2024-02-18,Robo a negocio con violencia,LINDAVISTA
2024-03-01,Homicidio doloso,TICOMAN
2024-06-07,Lesiones dolosas por disparo de arma de fuego,CUCHILLA
2025-02-26,Robo a casa habitación con violencia,PRADERA
2024-07-14,Robo a casa habitación con violencia,CUCHILLA
2024-01-08,Robo a negocio con violencia,TICOMAN
2025-05-18,Robo a negocio con violencia,CUCHILLA
2024-07-04,Robo a cuentahabiente saliendo del cajero con violencia,LINDAVISTA
2025-05-06,Robo a negocio con violencia,LINDAVISTA
2024-02-14,Robo a negocio con violencia,TICOMAN
2025-01-29,Robo a cuentahabiente saliendo del cajero con violencia,PRADERA
2025-08-14,Lesiones dolosas por disparo de arma de fuego,TICOMAN
2024-12-02,Robo a negocio con violencia,CUCHILLA
2024-06-21,Robo a negocio con violencia,PRADERA
2024-11-15,Robo a repartidor con y sin violencia,LINDAVISTA
2025-04-02,Robo a negocio con violencia,CUCHILLA
2024-01-05,Robo a repartidor con y sin violencia,CUCHILLA
2025-06-24,Robo a negocio con violencia,LINDAVISTA
2025-04-19,Robo a negocio con violencia,LINDAVISTA
2024-08-18,Robo a pasajero a bordo de microbús con y sin violencia,LINDAVISTA
2025-04-30,Lesiones dolosas por disparo de arma de fuego,LINDAVISTA
2024-10-11,Robo a negocio con violencia,LINDAVISTA
2024-02-05,Robo a negocio con violencia,QUIROGA
2024-04-04,Lesiones dolosas por disparo de arma de fuego,QUIROGA
2024-05-15,Robo a negocio con violencia,QUIROGA
2024-11-04,Homicidio doloso,QUIROGA
2025-01-06,Lesiones dolosas por disparo de arma de fuego,QUIROGA
2024-04-19,Homicidio doloso,QUIROGA
2024-02-03,Homicidio doloso,QUIROGA
2025-05-06,Robo a negocio con violencia,CUCHILLA
2024-09-05,Robo a casa habitación con violencia,QUIROGA
2025-07-06,Robo a negocio con violencia,QUIROGA
2024-04-25,Robo a cuentahabiente saliendo del cajero con violencia,CUCHILLA
2025-02-03,Robo a negocio con violencia,CUCHILLA
2024-04-16,Robo a negocio con violencia,CUCHILLA
2024-12-02,Robo a repartidor con y sin violencia,TEPEYAC
2024-02-25,Robo a pasajero a bordo de taxi con violencia,TEPEYAC
2024-09-10,Robo a negocio con violencia,TEPEYAC
2024-09-25,Robo a pasajero a bordo de taxi con violencia,TEPEYAC
2024-09-06,Robo a negocio con violencia,TEPEYAC
2024-01-29,Robo a negocio con violencia,CUCHILLA
2024-04-08,Robo a negocio con violencia,LINDAVISTA
2025-04-11,Lesiones dolosas por disparo de arma de fuego,PRADERA
2024-11-11,Robo a negocio con violencia,PRADERA
2024-07-25,Robo a negocio con violencia,PRADERA
2025-06-02,Robo a negocio con violencia,PRADERA
2024-03-01,Robo a negocio con violencia,PRADERA
2024-10-25,Robo a negocio con violencia,PRADERA
2024-11-12,Robo a pasajero a bordo de taxi con violencia,TEPEYAC
2025-07-04,Lesiones dolosas por disparo de arma de fuego,TEPEYAC
2024-12-14,Robo a repartidor con y sin violencia,CUCHILLA
2025-05-19,Robo a repartidor con y sin violencia,CUAUTEPEC
2024-02-23,Robo a negocio con violencia,LINDAVISTA
2025-04-29,Lesiones dolosas por disparo de arma de fuego,QUIROGA
2025-02-23,Robo a repartidor con y sin violencia,QUIROGA
2025-01-22,Robo a negocio con violencia,PRADERA
2024-08-23,Robo a negocio con violencia,PRADERA
2024-02-16,Lesiones dolosas por disparo de arma de fuego,PRADERA
2025-01-27,Robo a negocio con violencia,LINDAVISTA
2024-07-06,Robo a negocio con violencia,LINDAVISTA
2024-03-26,Robo a negocio con violencia,LINDAVISTA
2024-03-14,Homicidio doloso,PRADERA
2024-04-07,Homicidio doloso,PRADERA
2024-01-26,Homicidio doloso,PRADERA
2024-11-10,Robo a negocio con violencia,PRADERA
2024-01-27,Robo a casa habitación con violencia,TEPEYAC
2025-07-23,Robo a negocio con violencia,TEPEYAC
2024-11-06,Robo a repartidor con y sin violencia,LINDAVISTA
2024-06-27,Homicidio doloso,TICOMAN
2025-02-04,Robo a negocio con violencia,CUCHILLA
2024-09-03,Robo a repartidor con y sin violencia,CUAUTEPEC
2024-10-26,Lesiones dolosas por disparo de arma de fuego,PRADERA
2025-05-14,Robo a transportista con y sin violencia,CUCHILLA
2024-10-31,Homicidio doloso,PRADERA
2024-11-11,Robo a negocio con violencia,PRADERA
2025-01-20,Robo a repartidor con y sin violencia,PRADERA
2024-08-25,Lesiones dolosas por disparo de arma de fuego,TICOMAN
2024-07-10,Robo a repartidor con y sin violencia,TICOMAN
2024-11-11,Robo a negocio con violencia,PRADERA
2024-11-24,Robo a negocio con violencia,PRADERA
2024-02-27,Robo a pasajero a bordo de microbús con y sin violencia,PRADERA
2024-01-01,Robo a negocio con violencia,PRADERA
2024-06-25,Robo a negocio con violencia,LINDAVISTA
2024-10-04,Lesiones dolosas por disparo de arma de fuego,CUCHILLA
2024-10-27,Robo a negocio con violencia,QUIROGA
2024-11-01,Homicidio doloso,QUIROGA
2024-12-05,Robo a casa habitación con violencia,PRADERA
2024-07-26,Robo a cuentahabiente saliendo del cajero con violencia,PRADERA
2024-09-05,Robo a negocio con violencia,TEPEYAC
